"","county","party","race","hisp","gender","age","total_voters","freq"
"1","ALAMANCE","DEM","A","NL","F","18-25",20,128
"2","ALAMANCE","DEM","A","NL","F","26-40",28,265
"3","ALAMANCE","DEM","A","NL","F","41-65",30,288
"4","ALAMANCE","DEM","A","NL","F","66+",8,49
"5","ALAMANCE","DEM","A","NL","M","18-25",14,120
"6","ALAMANCE","DEM","A","NL","M","26-40",19,192
"7","ALAMANCE","DEM","A","NL","M","41-65",18,248
"8","ALAMANCE","DEM","A","NL","M","66+",5,52
"9","ALAMANCE","DEM","A","NL","U","26-40",1,NA
"10","ALAMANCE","DEM","A","NL","U","41-65",1,NA
"11","ALAMANCE","DEM","A","UN","F","18-25",11,NA
"12","ALAMANCE","DEM","A","UN","F","26-40",17,NA
"13","ALAMANCE","DEM","A","UN","F","41-65",29,NA
"14","ALAMANCE","DEM","A","UN","F","66+",3,NA
"15","ALAMANCE","DEM","A","UN","M","26-40",12,NA
"16","ALAMANCE","DEM","A","UN","M","41-65",24,NA
"17","ALAMANCE","DEM","A","UN","M","66+",4,NA
"18","ALAMANCE","DEM","A","UN","U","18-25",3,NA
"19","ALAMANCE","DEM","A","UN","U","26-40",3,NA
"20","ALAMANCE","DEM","A","UN","U","41-65",4,NA
"21","ALAMANCE","DEM","B","HL","F","18-25",8,25
"22","ALAMANCE","DEM","B","HL","F","26-40",16,39
"23","ALAMANCE","DEM","B","HL","F","41-65",6,27
"24","ALAMANCE","DEM","B","HL","F","66+",1,7
"25","ALAMANCE","DEM","B","HL","M","18-25",3,20
"26","ALAMANCE","DEM","B","HL","M","26-40",3,35
"27","ALAMANCE","DEM","B","HL","M","41-65",8,38
"28","ALAMANCE","DEM","B","NL","F","18-25",652,1648
"29","ALAMANCE","DEM","B","NL","F","26-40",1681,2902
"30","ALAMANCE","DEM","B","NL","F","41-65",3376,5342
"31","ALAMANCE","DEM","B","NL","F","66+",1621,1832
"32","ALAMANCE","DEM","B","NL","M","18-25",451,1542
"33","ALAMANCE","DEM","B","NL","M","26-40",974,2251
"34","ALAMANCE","DEM","B","NL","M","41-65",2268,4390
"35","ALAMANCE","DEM","B","NL","M","66+",984,1148
"36","ALAMANCE","DEM","B","NL","U","18-25",3,NA
"37","ALAMANCE","DEM","B","NL","U","26-40",2,NA
"38","ALAMANCE","DEM","B","NL","U","41-65",8,NA
"39","ALAMANCE","DEM","B","UN","F","18-25",304,NA
"40","ALAMANCE","DEM","B","UN","F","26-40",821,NA
"41","ALAMANCE","DEM","B","UN","F","41-65",1541,NA
"42","ALAMANCE","DEM","B","UN","F","66+",416,NA
"43","ALAMANCE","DEM","B","UN","M","18-25",231,NA
"44","ALAMANCE","DEM","B","UN","M","26-40",662,NA
"45","ALAMANCE","DEM","B","UN","M","41-65",1162,NA
"46","ALAMANCE","DEM","B","UN","M","66+",276,NA
"47","ALAMANCE","DEM","B","UN","U","18-25",21,NA
"48","ALAMANCE","DEM","B","UN","U","26-40",29,NA
"49","ALAMANCE","DEM","B","UN","U","41-65",38,NA
"50","ALAMANCE","DEM","B","UN","U","66+",13,NA
"51","ALAMANCE","DEM","I","HL","F","18-25",3,26
"52","ALAMANCE","DEM","I","HL","F","26-40",1,77
"53","ALAMANCE","DEM","I","HL","F","41-65",2,27
"54","ALAMANCE","DEM","I","HL","F","66+",2,1
"55","ALAMANCE","DEM","I","HL","M","66+",1,6
"56","ALAMANCE","DEM","I","NL","F","18-25",5,33
"57","ALAMANCE","DEM","I","NL","F","26-40",11,51
"58","ALAMANCE","DEM","I","NL","F","41-65",19,105
"59","ALAMANCE","DEM","I","NL","F","66+",6,36
"60","ALAMANCE","DEM","I","NL","M","26-40",3,46
"61","ALAMANCE","DEM","I","NL","M","41-65",12,100
"62","ALAMANCE","DEM","I","NL","M","66+",3,25
"63","ALAMANCE","DEM","I","NL","U","41-65",1,NA
"64","ALAMANCE","DEM","I","UN","F","18-25",5,NA
"65","ALAMANCE","DEM","I","UN","F","26-40",3,NA
"66","ALAMANCE","DEM","I","UN","F","41-65",16,NA
"67","ALAMANCE","DEM","I","UN","F","66+",5,NA
"68","ALAMANCE","DEM","I","UN","M","18-25",2,NA
"69","ALAMANCE","DEM","I","UN","M","26-40",5,NA
"70","ALAMANCE","DEM","I","UN","M","41-65",11,NA
"71","ALAMANCE","DEM","I","UN","M","66+",1,NA
"72","ALAMANCE","DEM","I","UN","U","18-25",2,NA
"73","ALAMANCE","DEM","I","UN","U","41-65",1,NA
"74","ALAMANCE","DEM","M","HL","F","18-25",16,61
"75","ALAMANCE","DEM","M","HL","F","26-40",32,93
"76","ALAMANCE","DEM","M","HL","F","41-65",18,75
"77","ALAMANCE","DEM","M","HL","M","18-25",10,64
"78","ALAMANCE","DEM","M","HL","M","26-40",17,96
"79","ALAMANCE","DEM","M","HL","M","41-65",13,71
"80","ALAMANCE","DEM","M","HL","M","66+",1,7
"81","ALAMANCE","DEM","M","NL","F","18-25",34,167
"82","ALAMANCE","DEM","M","NL","F","26-40",30,125
"83","ALAMANCE","DEM","M","NL","F","41-65",27,159
"84","ALAMANCE","DEM","M","NL","F","66+",5,48
"85","ALAMANCE","DEM","M","NL","M","18-25",14,126
"86","ALAMANCE","DEM","M","NL","M","26-40",21,137
"87","ALAMANCE","DEM","M","NL","M","41-65",7,155
"88","ALAMANCE","DEM","M","NL","M","66+",1,27
"89","ALAMANCE","DEM","M","NL","U","26-40",2,NA
"90","ALAMANCE","DEM","M","UN","F","18-25",8,NA
"91","ALAMANCE","DEM","M","UN","F","26-40",34,NA
"92","ALAMANCE","DEM","M","UN","F","41-65",25,NA
"93","ALAMANCE","DEM","M","UN","F","66+",6,NA
"94","ALAMANCE","DEM","M","UN","M","18-25",20,NA
"95","ALAMANCE","DEM","M","UN","M","26-40",21,NA
"96","ALAMANCE","DEM","M","UN","M","41-65",9,NA
"97","ALAMANCE","DEM","M","UN","M","66+",3,NA
"98","ALAMANCE","DEM","M","UN","U","66+",1,NA
"99","ALAMANCE","DEM","O","HL","F","18-25",104,629
"100","ALAMANCE","DEM","O","HL","F","26-40",93,1229
"101","ALAMANCE","DEM","O","HL","F","41-65",73,621
"102","ALAMANCE","DEM","O","HL","F","66+",17,41
"103","ALAMANCE","DEM","O","HL","M","18-25",76,672
"104","ALAMANCE","DEM","O","HL","M","26-40",89,1379
"105","ALAMANCE","DEM","O","HL","M","41-65",80,762
"106","ALAMANCE","DEM","O","HL","M","66+",14,51
"107","ALAMANCE","DEM","O","HL","U","18-25",1,NA
"108","ALAMANCE","DEM","O","HL","U","41-65",3,NA
"109","ALAMANCE","DEM","O","HL","U","66+",1,NA
"110","ALAMANCE","DEM","O","NL","F","18-25",25,27
"111","ALAMANCE","DEM","O","NL","F","26-40",48,31
"112","ALAMANCE","DEM","O","NL","F","41-65",72,25
"113","ALAMANCE","DEM","O","NL","F","66+",11,2
"114","ALAMANCE","DEM","O","NL","M","18-25",23,19
"115","ALAMANCE","DEM","O","NL","M","26-40",30,22
"116","ALAMANCE","DEM","O","NL","M","41-65",76,19
"117","ALAMANCE","DEM","O","NL","M","66+",20,1
"118","ALAMANCE","DEM","O","UN","F","18-25",5,NA
"119","ALAMANCE","DEM","O","UN","F","26-40",14,NA
"120","ALAMANCE","DEM","O","UN","F","41-65",15,NA
"121","ALAMANCE","DEM","O","UN","F","66+",3,NA
"122","ALAMANCE","DEM","O","UN","M","18-25",9,NA
"123","ALAMANCE","DEM","O","UN","M","26-40",14,NA
"124","ALAMANCE","DEM","O","UN","M","41-65",13,NA
"125","ALAMANCE","DEM","O","UN","M","66+",5,NA
"126","ALAMANCE","DEM","O","UN","U","18-25",1,NA
"127","ALAMANCE","DEM","O","UN","U","41-65",1,NA
"128","ALAMANCE","DEM","O","UN","U","66+",1,NA
"129","ALAMANCE","DEM","U","HL","F","18-25",68,NA
"130","ALAMANCE","DEM","U","HL","F","26-40",85,NA
"131","ALAMANCE","DEM","U","HL","F","41-65",60,NA
"132","ALAMANCE","DEM","U","HL","F","66+",9,NA
"133","ALAMANCE","DEM","U","HL","M","18-25",47,NA
"134","ALAMANCE","DEM","U","HL","M","26-40",41,NA
"135","ALAMANCE","DEM","U","HL","M","41-65",71,NA
"136","ALAMANCE","DEM","U","HL","M","66+",13,NA
"137","ALAMANCE","DEM","U","HL","U","18-25",4,NA
"138","ALAMANCE","DEM","U","HL","U","26-40",2,NA
"139","ALAMANCE","DEM","U","HL","U","41-65",3,NA
"140","ALAMANCE","DEM","U","NL","F","18-25",3,NA
"141","ALAMANCE","DEM","U","NL","F","26-40",9,NA
"142","ALAMANCE","DEM","U","NL","F","41-65",14,NA
"143","ALAMANCE","DEM","U","NL","F","66+",7,NA
"144","ALAMANCE","DEM","U","NL","M","18-25",2,NA
"145","ALAMANCE","DEM","U","NL","M","26-40",8,NA
"146","ALAMANCE","DEM","U","NL","M","41-65",9,NA
"147","ALAMANCE","DEM","U","NL","M","66+",1,NA
"148","ALAMANCE","DEM","U","NL","U","18-25",1,NA
"149","ALAMANCE","DEM","U","NL","U","26-40",4,NA
"150","ALAMANCE","DEM","U","NL","U","41-65",2,NA
"151","ALAMANCE","DEM","U","NL","U","66+",1,NA
"152","ALAMANCE","DEM","U","UN","F","18-25",45,NA
"153","ALAMANCE","DEM","U","UN","F","26-40",85,NA
"154","ALAMANCE","DEM","U","UN","F","41-65",105,NA
"155","ALAMANCE","DEM","U","UN","F","66+",30,NA
"156","ALAMANCE","DEM","U","UN","M","18-25",42,NA
